NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
3395,E2710001833201,中本くすのき公園,大阪府大阪市東成区中本5-2,,,,1,1,,,,,34.67719729,135.5414269,
3396,E2710001834201,東小橋小学校,大阪府大阪市東成区鶴橋3-4-50,1,,,,,,,,,34.66689298,135.5331888,
3397,E2710001835201,千間川みどり公園,大阪府大阪市東成区東今里1,,,,1,1,,,,,34.68078157,135.5524367,
3398,E2710001837201,１２３緑橋店,大阪府大阪市東成区東今里2-3-1,1,,,,,,,,,34.679344,135.552263,
3399,E2710001838201,東小橋北公園,大阪府大阪市東成区東小橋1-9,,,,1,1,,,,,34.67331224,135.5336227,
3400,E2710001839201,東小橋公園,大阪府大阪市東成区東小橋2-1,,,,1,1,,,,,34.66991979,135.5327877,
3401,E2710001840201,東小橋小学校（運動場）,大阪府大阪市東成区東小橋3-10-37,,,,1,1,,,,1,34.66715623,135.5332067,
3402,E2710001843201,大阪市立東成スポーツセンター,大阪府大阪市東成区東中本2-11-30,1,,,,,,,,,34.678862,135.54828,
3403,E2710001844201,神路公園,大阪府大阪市東成区東中本2-12,,,,1,1,,,,,34.67798661,135.5484078,
3404,E2710001845201,市営西今里住宅１号館,大阪府大阪市東成区東中本2-7-16,1,,,,,,,,,34.67955713,135.546384,
3405,E2710001846201,ライフ緑橋店,大阪府大阪市東成区東中本2-8-20,1,,,,,,,,,34.678963,135.544741,
3406,E2710001847201,東中本小学校,大阪府大阪市東成区東中本2-9-3,1,,,,,,,,1,34.67912267,135.5452058,
3407,E2710001847202,東中本小学校（運動場）,大阪府大阪市東成区東中本2-9-3,,,,1,1,,,,1,34.67889622,135.5455348,
3408,E2710001848201,本庄中学校,大阪府大阪市東成区東中本3-14-2,1,,,,,,,,1,34.67629032,135.5465084,
3409,E2710001848202,本庄中学校（運動場）,大阪府大阪市東成区東中本3-14-2,,,,1,1,,,,1,34.67585651,135.5465639,
3410,E2710001849201,東中本公園,大阪府大阪市東成区東中本3-15,,,,1,1,,,,,34.67611278,135.5453702,
3411,E2710001850201,大成小学校,大阪府大阪市東成区桃谷5-5-37,1,,,,,,,,,34.66746969,135.540393,
3412,E2710001851202,井高野小学校（運動場）,大阪府大阪市東淀川区井高野1-28-17,,,,1,1,,,,1,34.76200774,135.5441664,
3413,E2710001851201,井高野小学校,大阪府大阪市東淀川区井高野1-28-17,1,,,,,,,,1,34.7623647,135.5447547,
3414,E2710001852201,井高野南公園,大阪府大阪市東淀川区井高野1-3,,,,1,1,,,,,34.76290015,135.5430954,
3415,E2710001853201,市営井高野第６住宅１３号館,大阪府大阪市東淀川区井高野1-30-13,1,,,,,,,,,34.76244247,135.5451945,
3416,E2710001854201,市営井高野第６住宅１４号館,大阪府大阪市東淀川区井高野1-30-14,1,,,,,,,,,34.7622089,135.5453018,
3417,E2710001855201,市営井高野第６住宅１５号館,大阪府大阪市東淀川区井高野1-30-15,1,,,,,,,,,34.76211635,135.545629,
3418,E2710001856201,市営井高野第６住宅１６号館,大阪府大阪市東淀川区井高野1-30-16,1,,,,,,,,,34.76218687,135.5459992,
3419,E2710001857201,市営井高野住宅１号館,大阪府大阪市東淀川区井高野1-4-1,1,,,,,,,,,34.76283235,135.5439527,
3420,E2710001858201,市営井高野住宅２号館,大阪府大阪市東淀川区井高野1-4-2,1,,,,,,,,,34.76314084,135.5432982,
3421,E2710001859201,市営井高野住宅３号館,大阪府大阪市東淀川区井高野1-4-3,1,,,,,,,,,34.76344492,135.5428369,
3422,E2710001860201,市営井高野住宅４号館,大阪府大阪市東淀川区井高野1-4-4,1,,,,,,,,,34.76346695,135.5422253,
3423,E2710001862201,市営井高野住宅６号館,大阪府大阪市東淀川区井高野1-4-6,1,,,,,,,,,34.76390324,135.5430622,
3424,E2710001863201,市営井高野住宅７号館,大阪府大阪市東淀川区井高野1-4-7,1,,,,,,,,,34.76371754,135.5437464,
3425,E2710001864201,市営井高野住宅９号館,大阪府大阪市東淀川区井高野1-4-9,1,,,,,,,,,34.76331712,135.5445696,
3426,E2710001865202,井高野中学校（運動場）,大阪府大阪市東淀川区井高野2-8-13,,,,1,1,,,,1,34.7639963,135.5487909,
3427,E2722400070201,大阪市立井高野中学校,大阪府大阪市東淀川区井高野2-8-13,1,,,,,,,,,34.764847,135.547987,
3428,E2710001865201,井高野中学校,大阪府大阪市東淀川区井高野2-8-13,1,,,,,,,,1,34.76469479,135.5483492,
3429,E2722400071201,大阪市立東井高野小学校,大阪府大阪市東淀川区井高野2-8-28,1,,,,,,,,,34.7652366359,135.5491523236,
3430,E2710001866202,東井高野小学校（運動場）,大阪府大阪市東淀川区井高野2-8-28,,,,1,1,,,,1,34.76488204,135.5488407,
3431,E2710001866201,東井高野小学校,大阪府大阪市東淀川区井高野2-8-28,1,,,,,,,,1,34.76520815,135.54915,
3432,E2710001867201,市営井高野第６住宅１０号館,大阪府大阪市東淀川区井高野3-10-10,1,,,,,,,,,34.76364998,135.5468306,
3433,E2710001868201,市営井高野第６住宅１１号館,大阪府大阪市東淀川区井高野3-10-11,1,,,,,,,,,34.76379981,135.5463371,
3434,E2710001869201,市営井高野第６住宅１８号館,大阪府大阪市東淀川区井高野3-10-18,1,,,,,,,,,34.76424051,135.5466,
3435,E2710001870201,市営井高野第６住宅１９号館,大阪府大阪市東淀川区井高野3-11-19,1,,,,,,,,,34.76473408,135.5468843,
3436,E2710001871201,市営井高野第６住宅２０号館,大阪府大阪市東淀川区井高野3-11-20,1,,,,,,,,,34.76489713,135.5472866,
3437,E2710001872201,市営井高野第６住宅２１号館,大阪府大阪市東淀川区井高野3-11-21,1,,,,,,,,,34.76551409,135.5481878,
3438,E2710001874201,井高野公園,大阪府大阪市東淀川区井高野3-3,,,,1,1,,,,,34.76551105,135.5439941,
3439,E2710001875201,市営井高野第６住宅１２号館,大阪府大阪市東淀川区井高野3-5-12,1,,,,,,,,,34.76401135,135.545849,
3440,E2710001876201,市営井高野第６住宅１７号館,大阪府大阪市東淀川区井高野3-5-17,1,,,,,,,,,34.76444763,135.5460582,
3441,E2710001877201,市営井高野第６住宅７号館,大阪府大阪市東淀川区井高野3-6-7,1,,,,,,,,,34.76357506,135.5455968,
3442,E2710001878201,市営井高野第６住宅２号館,大阪府大阪市東淀川区井高野3-7-2,1,,,,,,,,,34.76273333,135.5459348,
3443,E2710001879201,市営井高野第６住宅３号館,大阪府大阪市東淀川区井高野3-7-3,1,,,,,,,,,34.76256146,135.546482,
3444,E2710001880201,市営井高野第６住宅８号館,大阪府大阪市東淀川区井高野3-9-8,1,,,,,,,,,34.76335471,135.5460904,
3445,E2710001881201,市営井高野第６住宅９号館,大阪府大阪市東淀川区井高野3-9-9,1,,,,,,,,,34.76320488,135.5467019,
3446,E2710001882201,市営井高野第４住宅１号館,大阪府大阪市東淀川区井高野4-4-1,1,,,,,,,,,34.766352,135.54724,
3447,E2710001883201,井高野ゴルフセンター,大阪府大阪市東淀川区井高野4-7-85,1,,,,,,,,,34.76566754,135.5505311,
3448,E2710001884201,鳩ヶ瀬公園,大阪府大阪市東淀川区下新庄1-9,,,,1,1,,,,,34.74399865,135.5179291,
3449,E2710001885201,下新庄南公園,大阪府大阪市東淀川区下新庄2,,,,1,1,,,,,34.74290151,135.5198098,
3450,E2710001886201,下新庄北公園,大阪府大阪市東淀川区下新庄4-14,,,,1,1,,,,,34.7465679,135.5179435,
3451,E2710001887201,市営下新庄４丁目住宅１号館,大阪府大阪市東淀川区下新庄4-16-1,1,,,,,,,,,34.74654428,135.5165043,
3452,E2710001888201,市営下新庄４丁目住宅２号館,大阪府大阪市東淀川区下新庄4-16-2,1,,,,,,,,,34.74613435,135.5166921,
3453,E2710001890201,下新庄公園,大阪府大阪市東淀川区下新庄5-17,,,,1,1,,,,,34.74684245,135.5234777,
3454,E2710001891202,下新庄小学校（運動場）,大阪府大阪市東淀川区下新庄5-2-9,,,,1,1,,,,1,34.74603561,135.5209644,
3455,E2710001891201,下新庄小学校,大阪府大阪市東淀川区下新庄5-2-9,1,,,,,,,,1,34.74626042,135.5213167,
3456,E2710001892201,下新庄小公園,大阪府大阪市東淀川区下新庄5-3,,,,1,1,,,,,34.74544965,135.5219805,
3457,E2710001893201,飛鳥町公園,大阪府大阪市東淀川区柴島1-7,,,,1,1,,,,,34.72965372,135.5092627,
3458,E2710001894201,大阪府立柴島高等学校（運動場）,大阪府大阪市東淀川区柴島1-7-106,,,,1,1,,,,1,34.729038,135.509744,
3459,E2710001895201,柴島東公園,大阪府大阪市東淀川区柴島2-18,,,,1,1,,,,,34.72915017,135.5144262,
3460,E2710001896201,柴島中学校,大阪府大阪市東淀川区柴島2-8-36,1,,,,,,,,1,34.72765722,135.5123126,
3461,E2710001896202,柴島中学校（運動場）,大阪府大阪市東淀川区柴島2-8-36,,,,1,1,,,,1,34.72725436,135.5124454,
3462,E2710001897201,柴島西公園,大阪府大阪市東淀川区柴島3-7,,,,1,1,,,,,34.7309323,135.5141477,
3463,E2710001898201,ハウス不動産ビル,大阪府大阪市東淀川区小松1-2-7,1,,,,,,,,,34.75116,135.53335,
3464,E2710001899201,アベニュー小松ビル,大阪府大阪市東淀川区小松1-3-15,1,,,,,,,,,34.75126895,135.5340914,
3465,E2710001900201,小松公園,大阪府大阪市東淀川区小松2-12,,,,1,1,,,,,34.75320163,135.5366192,
3466,E2710001901202,小松小学校（運動場）,大阪府大阪市東淀川区小松3-18-15,,,,1,1,,,,1,34.75452254,135.5393301,
3467,E2710001901201,小松小学校,大阪府大阪市東淀川区小松3-18-15,1,,,,,,,,1,34.75470325,135.5398675,
3468,E2710001902201,松山公園,大阪府大阪市東淀川区小松4-14,,,,1,1,,,,,34.75383867,135.5406056,
3469,E2710001903201,市営小松南住宅１号館,大阪府大阪市東淀川区小松5-6-1,1,,,,,,,,,34.75413063,135.5476711,
3470,E2710001904201,関西大学北陽高等学校（運動場）,大阪府大阪市東淀川区上新庄1-3-26,,,,1,1,,,,1,34.74538077,135.5297719,
3471,E2710001905201,新庄公園,大阪府大阪市東淀川区上新庄2-12,,,,1,1,,,,,34.74796177,135.5310442,
3472,E2710001906201,新庄小学校,大阪府大阪市東淀川区上新庄2-20-5,1,,,,,,,,1,34.74883295,135.5323658,
3473,E2710001906202,新庄小学校（運動場）,大阪府大阪市東淀川区上新庄2-20-5,,,,1,1,,,,1,34.74856848,135.5325339,
3474,E2710002909201,新庄小学校第２グラウンド,大阪府大阪市東淀川区上新庄2-5,,,,1,1,,,,,34.747509,135.529678,
3475,E2710001907201,極東エンジニアリング株式会社,大阪府大阪市東淀川区上新庄3-16-11,1,,,,,,,,,34.7510929,135.5312246,
3476,E2710001908201,瑞光寺公園,大阪府大阪市東淀川区瑞光2-2,,,,1,1,,,,,34.74969577,135.538494,
3477,E2710001910201,株式会社川本製作所　大阪支店,大阪府大阪市東淀川区瑞光3-8-20,1,,,,,,,,,34.7522085,135.5444069,
3478,E2710001911201,瑞光４公園,大阪府大阪市東淀川区瑞光4-4,,,,1,1,,,,,34.75195856,135.5480339,
3479,E2710001912201,大隅東公園,大阪府大阪市東淀川区瑞光4-5,,,,1,1,,,,,34.75273832,135.5492349,
3480,E2710001913201,瑞光中学校,大阪府大阪市東淀川区瑞光4-9-37,1,,,,,,,,1,34.75226903,135.5454936,
3481,E2710001913202,瑞光中学校（運動場）,大阪府大阪市東淀川区瑞光4-9-37,,,,1,1,,,,1,34.75261282,135.5454418,
3482,E2710001914201,市営瑞光住宅１号館,大阪府大阪市東淀川区瑞光5-3-1,1,,,,,,,,,34.75228686,135.5504017,
3483,E2710001915201,市営瑞光住宅２号館,大阪府大阪市東淀川区瑞光5-3-2,1,,,,,,,,,34.75216786,135.5509113,
3484,E2710001916201,市営瑞光住宅３号館,大阪府大阪市東淀川区瑞光5-4-3,1,,,,,,,,,34.75261463,135.5513558,
3485,E2710001917202,大隅東小学校（運動場）,大阪府大阪市東淀川区瑞光5-8-19,,,,1,1,,,,1,34.75308689,135.5519004,
3486,E2710001917201,大隅東小学校,大阪府大阪市東淀川区瑞光5-8-19,1,,,,,,,,1,34.75343949,135.5518021,
3487,E2710001918201,市営菅原第３住宅１号館,大阪府大阪市東淀川区菅原1-6-1,1,,,,,,,,,34.7362883,135.5284998,
3488,E2710001919201,市営菅原第３住宅２号館,大阪府大阪市東淀川区菅原1-6-2,1,,,,,,,,,34.73641174,135.529165,
3489,E2710001920201,市営菅原第３住宅３号館,大阪府大阪市東淀川区菅原2-1-3,1,,,,,,,,,34.73647786,135.5297872,
3490,E2710001921201,菅原天満宮公園,大阪府大阪市東淀川区菅原2-2,,,,1,1,,,,,34.73833573,135.5294645,
3491,E2710001922201,和合公園,大阪府大阪市東淀川区菅原3-2,,,,1,1,,,,,34.73820176,135.5251715,
3492,E2710001923201,菅原公園,大阪府大阪市東淀川区菅原3-6,,,,1,1,,,,,34.7389142,135.5259029,
3493,E2710001924201,菅原東公園,大阪府大阪市東淀川区菅原4-8,,,,1,1,,,,,34.73992724,135.5275856,
